Ritz wavelength (nm),Li I (6.5e-03),Li II (3.2e-01),Li III (5.5e-29),C I (1.2e-01),C II (5.2e-02),C III (1.4e-08),O I (4.8e-01),O II (1.6e-02),O III (1.1e-12)
303.4219,,,,,,,,,2.226e-25
303.5414,,,,,,,,,1.161e-21
304.2993,,,,,,,,,1.652e-21
304.71,,,,,,,,,6.178e-21
305.9277,,,,,,,,,2.205e-21
306.4975,,,,,,,,,2.961e-27
306.8129,,,,,,,,,2.952e-27
306.8667,,,,,,,,,5.166e-27
307.4138,,,,,,,,,5.855e-27
307.4715,,,,,,,,,5.131e-27
307.5129,,,,,,,,,3.664e-27
307.5954,,,,,,,,,4.334e-27
307.813,,,,,,,,,4.808e-27
308.2355,,,,,3.360e-7,,,,
308.304,,,,,3.836e-7,,,,
308.3647,,,,,,,,,1.018e-26
308.4644,,,,,,,,,5.803e-27
308.8041,,,,,,,,,2.147e-26
309.5795,,,,,,,,,4.295e-27
311.5674,,,,,,,,,3.085e-23
312.1633,,,,,,,,,9.260e-23
312.2116,,,,,5.958e-7,,,,
312.2524,,,,,,,,8.508e-8,
312.391,,,,,,,,1.604e-8,
312.4149,,,,,9.196e-7,,,,
312.934,,,,,,,,1.021e-7,
313.2794,,,,,,,,,1.554e-22
313.4213,,,,,,,,8.040e-8,
313.4726,,,,,,,,3.737e-7,
313.8337,,,,,,,,1.992e-7,
313.9678,,,,,,,,7.998e-8,
315.5263,,1.528e-25,,,,,,,
315.5369,,2.547e-25,,,,,,,
316.5462,,,,,1.174e-4,,,,
316.7935,,,,,6.515e-5,,,,
319.6216,,3.701e-25,,,,,,,
319.6318,,1.693e-24,,,,,,,
319.6381,,2.832e-24,,,,,,,
319.6435,,1.238e-24,,,,,,,
319.8181,,,,,,,,,8.393e-28
319.9332,,1.638e-24,,,,,,,
319.9435,,4.184e-25,,,,,,,
320.1139,,,,,,,,,2.519e-27
320.2514,,,,,,,,,8.640e-28
320.7609,,,,,,,,,3.859e-27
321.0585,,,,,,,,,8.344e-28
321.6074,,,,,,,,,6.809e-27
322.1213,,,,,,,,,8.551e-28
323.641,,,,,,,,,2.880e-27
324.9868,,1.080e-24,,,,,,,
325.7087,,,,,,,,,3.848e-26
326.0857,,,,,,,,,4.843e-22
326.5329,,,,,,,,,6.815e-22
326.5693,,,,,,,,,3.811e-26
326.7204,,,,,,,,,3.333e-22
326.7729,,,,,,,,,2.865e-26
326.8949,,,,,,,,,4.763e-26
