Wavelength (nm),Sum,Li I (6.5e-03),Li II (3.2e-01),Li III (5.5e-29),C I (1.2e-01),C II (5.2e-02),C III (1.4e-08),O I (4.8e-01),O II (1.6e-02),O III (1.1e-12)
412.18,9.553e+1,9.553e+1,8.061e-34,,,,9.329e-19,,1.178e-6,6.266e-27
412.26,1.283e+2,1.283e+2,2.101e-33,,,,9.224e-19,,1.104e-6,6.124e-27
412.34,1.684e+2,1.684e+2,5.357e-33,,,,8.914e-19,,1.020e-6,5.865e-27
412.42,2.161e+2,2.161e+2,1.335e-32,,,,8.420e-19,,9.299e-7,5.498e-27
412.51,2.784e+2,2.784e+2,3.632e-32,,,,7.685e-19,,8.289e-7,4.979e-27
412.59,3.405e+2,3.405e+2,8.631e-32,,,,6.916e-19,,7.437e-7,4.453e-27
412.67,4.070e+2,4.070e+2,2.006e-31,,,,6.084e-19,,6.661e-7,3.893e-27
412.75,4.757e+2,4.757e+2,4.558e-31,,,,5.232e-19,,5.984e-7,3.328e-27
412.83,5.434e+2,5.434e+2,1.013e-30,,,,4.397e-19,,5.411e-7,2.781e-27
412.92,6.144e+2,6.144e+2,2.421e-30,,,,3.519e-19,,4.888e-7,2.211e-27
413,6.689e+2,6.689e+2,5.130e-30,,,,2.819e-19,,4.515e-7,1.760e-27
413.08,7.120e+2,7.120e+2,1.063e-29,,,,2.207e-19,,4.210e-7,1.370e-27
413.16,7.408e+2,7.408e+2,2.153e-29,,,,1.690e-19,,3.950e-7,1.042e-27
413.24,7.535e+2,7.535e+2,4.265e-29,,,,1.267e-19,,3.714e-7,7.748e-28
413.32,7.492e+2,7.492e+2,8.262e-29,,,,9.319e-20,,3.484e-7,5.631e-28
413.41,7.246e+2,7.246e+2,1.692e-28,,,,6.484e-20,,3.217e-7,3.827e-28
413.49,6.866e+2,6.866e+2,3.126e-28,,,,4.686e-20,,2.965e-7,2.650e-28
413.57,6.360e+2,6.360e+2,5.645e-28,,,,3.470e-20,,2.699e-7,1.793e-28
413.65,5.759e+2,5.759e+2,9.969e-28,,,,2.757e-20,,2.422e-7,1.187e-28
413.73,5.099e+2,5.099e+2,1.722e-27,,,,2.498e-20,,2.144e-7,7.673e-29
413.82,4.327e+2,4.327e+2,3.099e-27,,,,2.725e-20,,1.841e-7,4.572e-29
413.9,3.650e+2,3.650e+2,5.102e-27,,,,3.406e-20,,1.596e-7,2.817e-29
413.98,3.010e+2,3.010e+2,8.215e-27,,,,4.591e-20,,1.383e-7,1.696e-29
414.06,2.427e+2,2.427e+2,1.293e-26,,,,6.364e-20,,1.215e-7,9.986e-30
414.14,1.913e+2,1.913e+2,1.991e-26,,,,8.836e-20,,1.100e-7,5.746e-30
414.22,1.474e+2,1.474e+2,2.997e-26,,,,1.214e-19,,1.044e-7,3.232e-30
414.31,1.070e+2,1.070e+2,4.623e-26,,,,1.701e-19,,1.059e-7,1.648e-30
414.39,7.855e+1,7.855e+1,6.636e-26,,,,2.253e-19,,1.143e-7,8.867e-31
414.47,5.638e+1,5.638e+1,9.313e-26,,,,2.928e-19,,1.292e-7,4.723e-31
414.55,3.956e+1,3.956e+1,1.278e-25,,,,3.734e-19,,1.504e-7,2.585e-31
414.63,2.714e+1,2.714e+1,1.715e-25,,,,4.675e-19,,1.771e-7,1.636e-31
414.72,1.728e+1,1.728e+1,2.325e-25,,,,5.888e-19,,2.125e-7,1.520e-31
414.8,1.130e+1,1.130e+1,2.975e-25,,,,7.092e-19,,2.472e-7,2.196e-31
414.88,7.221e+0,7.221e+0,3.723e-25,,,,8.396e-19,,2.832e-7,3.843e-31
414.96,4.511e+0,4.511e+0,4.555e-25,,,,9.774e-19,,3.187e-7,7.039e-31
415.04,2.755e+0,2.755e+0,5.449e-25,,,,1.120e-18,,3.516e-7,1.283e-30
415.13,1.540e+0,1.540e+0,6.491e-25,,,,1.280e-18,,3.833e-7,2.468e-30
415.21,8.960e-1,8.960e-1,7.404e-25,,,,1.420e-18,,4.048e-7,4.315e-30
415.29,5.098e-1,5.098e-1,8.259e-25,,,,1.553e-18,,4.187e-7,7.380e-30
415.37,2.836e-1,2.836e-1,9.008e-25,,,,1.676e-18,,4.241e-7,1.234e-29
415.45,1.542e-1,1.542e-1,9.608e-25,,,,1.787e-18,,4.208e-7,2.020e-29
415.53,8.195e-2,8.195e-2,1.002e-24,,,,1.883e-18,,4.093e-7,3.231e-29
415.62,3.917e-2,3.917e-2,1.023e-24,,,,1.971e-18,,3.876e-7,5.339e-29
415.7,1.984e-2,1.984e-2,1.017e-24,,,,2.030e-18,,3.622e-7,8.148e-29
415.78,9.826e-3,9.826e-3,9.889e-25,,,,2.070e-18,,3.329e-7,1.216e-28
415.86,4.757e-3,4.757e-3,9.403e-25,,,,2.089e-18,,3.016e-7,1.775e-28
415.94,2.251e-3,2.251e-3,8.743e-25,,,,2.087e-18,,2.702e-7,2.534e-28
416.03,9.444e-4,9.442e-4,7.842e-25,,,,2.060e-18,,2.370e-7,3.683e-28
416.11,4.260e-4,4.258e-4,6.952e-25,,,,2.012e-18,,2.107e-7,5.015e-28
416.19,1.879e-4,1.877e-4,6.026e-25,,,,1.942e-18,,1.885e-7,6.678e-28
416.27,8.107e-5,8.090e-5,5.108e-25,,,,1.851e-18,,1.708e-7,8.697e-28
416.35,3.424e-5,3.409e-5,4.234e-25,,,,1.742e-18,,1.576e-7,1.108e-27
416.43,1.419e-5,1.404e-5,3.432e-25,,,,1.615e-18,,1.485e-7,1.380e-27
416.52,5.179e-6,5.037e-6,2.638e-25,,,,1.457e-18,,1.425e-7,1.721e-27
416.6,2.117e-6,1.977e-6,2.038e-25,,,,1.308e-18,,1.397e-7,2.044e-27
416.68,8.970e-7,7.586e-7,1.540e-25,,,,1.156e-18,,1.384e-7,2.376e-27
