Ritz wavelength (nm),Mo I (2.8e-02)
499.9903,1.713e+2
501.4581,2.463e+2
501.6761,4.822e+1
502.8994,7.733e+1
503.0756,7.193e+1
503.7177,4.847e+1
504.4357,8.526e+1
504.7697,9.167e+1
505.9871,2.415e+2
507.9865,4.031e+1
508.0014,9.961e+1
509.2151,5.294e+1
510.9708,9.799e+1
514.5378,1.011e+2
516.3179,2.123e+2
516.7745,7.648e+1
517.1066,2.684e+2
517.2942,4.275e+2
517.4182,3.631e+2
519.1456,1.472e+2
520.0152,9.981e+1
521.9398,6.503e+1
523.1059,1.170e+2
523.8206,6.930e+2
524.0876,5.688e+2
524.2803,2.096e+2
525.9032,1.408e+2
526.0143,5.161e+1
526.153,8.641e+1
528.0855,1.968e+2
531.9875,4.132e+1
532.7106,4.341e+1
535.488,8.478e+1
535.552,1.100e+2
535.646,2.207e+2
536.0515,1.417e+3
536.4277,4.233e+2
536.7077,8.168e+1
538.8667,6.295e+1
546.0506,1.228e+2
549.3765,1.208e+2
550.6493,3.839e+3
552.064,4.886e+1
553.303,2.856e+3
554.4482,6.056e+1
557.0443,1.543e+3
560.275,5.483e+1
561.0931,1.499e+2
561.9372,4.486e+1
563.2463,1.590e+2
568.9145,3.199e+2
570.5708,1.515e+2
572.9573,3.187e+1
575.1407,2.995e+2
579.1841,2.788e+2
582.5195,4.282e+1
584.9707,1.697e+2
585.1504,1.453e+2
585.8265,2.988e+2
586.9311,1.642e+2
588.8311,4.991e+2
589.3363,2.437e+2
589.5933,4.098e+2
592.6367,2.141e+2
592.8878,8.958e+2
602.5477,5.923e+1
603.0643,8.359e+2
613.0618,4.538e+1
619.7651,2.893e+1
651.9832,4.373e+1
661.913,1.894e+2
665.0355,1.470e+2
675.398,6.497e+1
683.8893,1.111e+2
688.6298,5.453e+1
744.7364,6.556e+1
765.6627,1.463e+2
