Ritz wavelength (nm),O I (9.7e-01),O II (3.3e-02),O III (2.3e-12)
700.225,1.699e+0,,
711.0078,,2.495e-8,
712.8865,,1.392e-8,
715.6701,1.331e+1,,
719.025,,,2.020e-26
725.4154,2.065e+0,,
725.4448,3.438e+0,,
728.0251,,8.813e-9,
730.685,,,1.588e-25
730.712,,,1.969e-25
736.535,,,1.163e-25
741.404,,,1.540e-25
745.536,,,5.544e-25
751.599,,,1.826e-25
753.0611,,1.388e-8,
771.095,,,1.435e-25
777.1944,5.615e+2,,
777.4166,4.012e+2,,
777.5388,2.408e+2,,
782.068,,,2.441e-26
783.237,,,7.317e-26
783.938,,,1.217e-25
784.794,,,3.219e-26
787.354,,,4.898e-26
796.332,,,8.373e-26
817.215,,,5.665e-25
822.1798,2.025e+0,,
822.1824,1.612e+1,,
822.7653,1.943e+0,,
823.0001,9.007e+0,,
823.0026,2.020e+0,,
823.3003,5.808e+0,,
823.5354,1.937e+0,,
828.83,,3.918e-9,
834.27,,4.664e-9,
835.886,,,2.259e-25
837.5844,,1.691e-8,
838.177,,3.622e-9,
840.3379,,8.940e-9,
841.588,,3.583e-9,
844.6247,5.462e+1,,
844.6359,2.731e+2,,
844.6758,1.639e+2,,
882.0423,1.499e+1,,
899.93,,,1.059e-25
911.614,,,2.974e-25
911.94,,,6.870e-30
912.138,,,6.895e-30
913.329,,,4.189e-25
917.421,,,2.016e-25
922.134,,,3.439e-29
922.521,,,1.637e-25
922.647,,,6.976e-30
924.508,,,3.486e-29
924.812,,,6.866e-30
926.0806,2.544e+1,,
926.0848,5.716e+1,,
926.0936,4.450e+1,,
926.2582,1.900e+1,,
926.267,7.416e+1,,
926.2776,1.186e+2,,
926.545,,,3.633e-26
926.553,,,1.133e-29
926.5826,8.472e+0,,
926.5932,5.910e+1,,
926.6006,2.285e+2,,
929.14,,,3.530e-26
931.111,,,1.357e-29
937.53,,,3.290e-29
938.806,,,6.659e-29
947.571,,,3.274e-29
948.2888,5.658e+0,,
956.512,,,2.818e-26
959.456,,1.059e-8,
