Ritz wavelength (nm),Mn I (3.3e-02),Mn II (9.6e-01)
310.8811,,1.388e+2
310.9251,,1.338e+2
311.0684,1.958e+2,
311.3356,2.642e+1,
311.3791,9.876e+1,
311.5471,1.022e+2,
311.5766,5.879e+1,
311.753,3.682e+1,
311.8123,6.260e+1,
312.1071,3.302e+1,
312.1872,,5.284e+1
312.2874,7.217e+1,
312.3132,,5.146e+2
312.52263,,3.454e+2
312.6838,5.217e+1,
313.2287,7.499e+1,
313.2788,8.227e+1,
314.4468,,2.560e+1
314.8182,1.993e+2,
314.885,4.300e+1,
315.1456,2.147e+1,
315.2243,2.432e+1,
315.6075,2.289e+1,
316.0151,6.212e+1,
316.1041,1.087e+2,
316.9356,1.891e+1,
317.5377,1.559e+1,
317.5575,6.698e+1,
317.5717,5.428e+1,
318.996,4.804e+1,
319.2432,2.659e+1,
320.111,4.990e+1,
320.9951,,2.013e+1
321.2882,5.796e+2,
322.7034,2.376e+1,
322.8089,2.833e+3,
323.023,9.179e+1,
323.0713,1.007e+3,
323.8713,4.818e+1,
324.0397,2.395e+2,
324.0613,1.397e+2,
324.088,3.510e+1,
324.3775,1.137e+3,
324.9894,2.612e+1,
325.1133,1.636e+2,
325.2946,2.565e+2,
325.5504,2.420e+1,
325.6132,1.073e+3,
325.841,6.898e+2,
326.0231,5.416e+2,
326.4706,5.240e+2,
326.778,2.277e+2,
326.872,1.277e+2,
327.0344,1.434e+2,
327.3011,1.230e+2,
327.806,3.994e+1,
329.8233,1.274e+2,
330.3296,8.643e+1,
330.6995,4.276e+1,
330.7804,,2.294e+2
333.077,,1.063e+3
336.3017,,4.029e+2
336.5129,2.548e+1,
342.0787,9.249e+1,
342.9153,2.263e+1,
344.19859,,5.940e+4
345.0598,4.825e+1,
346.03148,,3.005e+4
346.3657,9.435e+1,
346.405,,1.129e+1
346.504,,1.785e+1
346.634,,2.590e+1
346.9994,7.076e+1,
347.40387,,1.526e+4
347.41271,,1.134e+4
348.29037,,1.849e+4
348.86755,,1.450e+4
351.1826,1.304e+2,
353.527,6.826e+1,
353.7974,1.933e+1,
355.9797,5.082e+1,
356.6,,4.732e+0
357.7868,4.038e+3,
359.5107,3.741e+2,
360.1264,9.397e+1,
360.7526,9.879e+2,
360.8481,1.137e+3,
361.0292,8.728e+2,
361.5307,5.038e+1,
362.378,3.063e+2,
363.58,6.995e+1,
364.869,2.372e+1,
365.2326,2.725e+1,
365.7897,4.595e+1,
366.04,5.919e+2,
366.3341,1.816e+1,
366.7687,3.327e+1,
367.5655,7.921e+1,
367.6923,4.026e+2,
368.0133,8.990e+1,
368.2087,3.463e+2,
368.4853,9.441e+1,
369.654,2.175e+2,
370.0309,6.501e+1,
370.6078,1.407e+3,
370.8856,2.460e+1,
370.993,2.265e+1,
371.8921,8.267e+2,
372.888,1.276e+2,
372.9539,5.330e+1,
373.0999,3.125e+1,
373.1931,7.189e+2,
374.661,1.429e+2,
375.6639,1.039e+2,
376.7688,8.309e+1,
376.8175,5.932e+1,
377.1434,6.791e+1,
377.3855,7.594e+1,
377.6301,1.977e+1,
378.5434,6.709e+1,
379.0207,3.683e+2,
380.0556,2.520e+2,
380.1898,1.827e+2,
380.6711,4.681e+3,
380.9592,7.370e+2,
382.3507,3.396e+3,
382.3887,8.850e+2,
383.3861,7.972e+2,
383.4362,2.211e+3,
383.9819,5.869e+2,
384.1071,1.264e+3,
384.3984,5.357e+2,
387.2093,5.033e+1,
387.3179,5.918e+1,
388.883,2.289e+1,
388.9456,1.211e+2,
389.8344,1.213e+2,
389.9313,1.188e+2,
391.1133,9.979e+1,
391.9303,2.551e+1,
392.3317,1.123e+2,
392.4047,4.787e+2,
392.6475,5.596e+2,
392.8292,2.547e+1,
392.9642,6.315e+1,
393.1512,4.412e+1,
393.6757,6.152e+1,
395.1963,5.089e+1,
395.2834,2.293e+2,
395.4565,3.067e+1,
397.5887,6.022e+1,
397.7078,8.427e+1,
398.0143,4.053e+1,
398.2157,6.169e+1,
398.2583,2.532e+2,
398.2791,8.205e+1,
398.5241,1.604e+2,
398.6819,3.043e+2,
398.7091,2.208e+2,
399.1611,6.162e+1,
400.326,6.830e+1,
401.19,7.171e+1,
401.81,1.595e+3,
402.6433,3.554e+2,
403.0753,8.926e+3,
403.1789,2.503e+2,
403.3062,6.509e+3,
403.4483,4.160e+3,
403.8723,5.761e+1,
404.1355,6.287e+3,
404.8743,2.294e+3,
405.2472,2.608e+2,
