Ritz wavelength (nm),V I (2.1e-02),V II (9.7e-01),V III (1.1e-02)
305.70643,,8.968e+2,
305.87462,,2.097e+2,
305.918478,,3.279e+2,
306.045225,2.798e+3,,
306.1014,,7.951e+1,
306.21666,,1.006e+3,
306.269377,,1.810e+3,
306.3244,,3.195e+4,
306.37568,,3.665e+2,
306.44603,,1.190e+2,
306.544,,2.670e+2,
306.56137,,4.210e+3,
306.63699,4.059e+3,,
306.652313,3.637e+2,,
306.666288,,4.461e+2,
306.710414,,2.623e+4,
306.907693,,2.756e+2,
306.964612,2.599e+2,,
307.00916,,1.064e+3,
307.381715,5.119e+2,,
307.46508,,1.525e+3,
307.50171,,2.432e+2,
307.52654,3.830e+2,,
307.54585,,1.144e+3,
307.55647,,5.434e+2,
307.593262,8.597e+1,,
307.600558,,1.713e+3,
308.008063,,1.752e+2,
308.033014,6.897e+1,,
308.10017,,1.345e+3,
308.12451,,1.865e+3,
308.20064,3.756e+2,,
308.21095,3.928e+2,,
308.235894,,3.673e+2,
308.244948,,2.803e+2,
308.252025,,3.141e+3,
308.320869,,3.794e+3,
308.353811,1.216e+2,,
308.6205,,1.407e+3,
308.649885,,2.609e+3,
308.70637,1.075e+2,,
308.810937,2.301e+2,,
308.821449,,1.378e+3,
308.858272,,8.261e+2,
308.912576,1.348e+2,,
308.96225,,9.601e+2,
309.310037,,3.246e+5,
309.378983,1.664e+2,,
309.419367,,3.131e+4,
309.468657,1.118e+2,,
309.488081,,2.803e+2,
310.093226,,2.430e+4,
310.23004,,2.534e+5,
310.32762,,2.107e+2,
310.450453,,2.492e+2,
310.490486,,3.479e+3,
310.535445,,1.181e+3,
310.593,,3.425e+2,
310.86993,,3.791e+3,
310.9363,,4.153e+3,
310.975885,,3.935e+2,
311.071018,,1.898e+5,
311.12435,,1.449e+2,
311.29173,5.334e+1,,
311.356443,,1.263e+4,
311.67811,,2.488e+3,
311.80617,,1.408e+2,
311.838168,,1.408e+5,
312.072924,,1.858e+4,
312.114717,,3.104e+4,
312.28971,,2.637e+4,
312.37687,,5.636e+2,
312.430303,,5.617e+2,
312.50214,,5.837e+3,
312.528548,,1.046e+5,
312.571819,,5.116e+2,
312.62194,,4.468e+4,
312.71445,,3.425e+2,
312.82997,,1.527e+3,
312.86915,,5.684e+3,
313.027006,,4.454e+4,
313.333457,,3.019e+4,
313.49386,,2.963e+4,
313.651745,,2.434e+4,
313.80493,,4.147e+3,
313.97445,,2.009e+4,
314.10798,,2.536e+3,
314.14841,,5.512e+3,
314.20091,,1.361e+3,
314.219104,,4.525e+3,
314.248226,,3.345e+4,
314.34828,,1.263e+3,
314.47154,,1.321e+3,
314.622794,,7.842e+3,
314.87442,,7.152e+2,
315.13163,,7.657e+3,
315.54035,,3.941e+3,
315.788967,,2.287e+3,
315.93663,,1.406e+3,
316.07745,,1.406e+3,
316.13106,,7.623e+2,
316.23535,,2.700e+2,
316.27171,,4.875e+3,
