Ritz wavelength (nm),Co I (5.3e-02),Co II (9.5e-01),Co III (1.2e-03)
224.564733,,1.625e+1,
224.574279,,1.251e+2,
224.58783,,5.454e+0,
224.593806,,6.365e+0,
224.604071,,1.457e+2,
224.627046,,2.819e+0,
224.687035,,5.901e+1,
224.717675,,1.603e+0,
224.73259,,2.353e+1,
224.75328,,7.010e+0,
224.75982,,1.875e+1,
224.773855,,1.366e+1,
224.776175,,5.194e+0,
224.800915,,3.027e+1,
224.80814,,2.028e+2,
224.824906,,7.354e+0,
224.834949,,6.232e+0,
224.969326,,5.487e+1,
224.991075,,3.596e+2,
224.995435,,4.131e+1,
225.031722,,1.215e+2,
225.048973,,3.484e+2,
225.09917,,2.721e+0,
225.11158,,8.165e+2,
225.116878,,1.675e+2,
225.16796,,,1.607e-3
225.182232,,1.720e+2,
225.197933,,1.203e+2,
225.203717,,3.991e+1,
225.20875,,3.405e+1,
225.228154,,3.053e+2,
225.234554,,7.619e+0,
225.27402,,4.030e+2,
225.310798,,1.519e+2,
225.316166,,3.126e+1,
225.333933,,5.248e+1,
225.34798,,1.897e+3,
225.38592,,1.158e+1,
225.46135,,5.798e+1,
225.564416,,2.201e+2,
225.593591,,5.007e+2,
225.596788,,4.227e+1,
225.660678,,2.529e+1,
225.674444,,1.072e+4,
225.685654,,2.818e+1,
225.75734,,2.604e+1,
225.76547,,4.660e+1,
225.777868,,1.499e+2,
225.791765,,5.248e+1,
225.849163,,5.774e+1,
225.892928,,1.953e+1,
225.949085,,9.865e+1,
225.985777,,2.055e+1,
226.000625,,8.744e+3,
226.028676,,1.135e+1,
226.035852,,8.072e+0,
226.043744,,1.838e+1,
226.067863,,1.684e+0,
226.13798,,4.027e+0,
226.14427,,2.290e+0,
226.15514,,3.648e+2,
226.180414,,1.005e+1,
226.194141,,1.094e+2,
226.204988,,3.432e+1,
226.253756,,1.348e+1,
226.345118,,2.205e+2,
226.37064,,1.471e+1,
226.389271,,3.473e+1,
226.408089,,1.662e+2,
226.41969,,2.917e+1,
226.462538,,1.398e+2,
226.500957,,2.406e+1,
226.525251,,1.805e+2,
226.53328,,5.752e+1,
226.567979,,4.172e+0,
226.604369,,4.090e+0,
226.65256,,6.691e+3,
226.6568,,7.825e+1,
226.679867,,1.074e+3,
226.69884,,4.574e+0,
226.737954,,3.543e+1,
226.773128,,6.103e+1,
226.79482,,,1.163e-3
226.807808,,1.819e+1,
226.822229,,2.162e+1,
226.85297,,1.297e+1,
226.88256,,1.215e+1,
226.990431,,4.257e+2,
227.030236,,3.465e+1,
227.054019,,9.519e+0,
